name,accuracy,precision,recall,f1,roc_auc
Random Forest,0.765,0.10698689956331878,0.44545454545454544,0.17253521126760563,0.6695214045214045
XGBoost,0.7725,0.10161662817551963,0.4,0.16206261510128914,0.6473689273689274
